Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.3,ADAM,0.001,20,0.758064516,0.019421927,0.89157128,0.89157128,<__main__.CNNSummary object at 0x0000023FD2ADFEF0>
0.3,ADAM,0.005,4,0.796774194,0.026916644,0.926222685,0.926222685,<__main__.CNNSummary object at 0x0000023FD200B170>
0.3,ADAM,0.005,8,0.790322581,0.021639368,0.912122789,0.912122789,<__main__.CNNSummary object at 0x0000023FD044DCD0>
0.3,ADAM,0.005,12,0.698387097,0.039309863,0.888449532,0.888449532,<__main__.CNNSummary object at 0x0000023FD19E88C0>
0.3,ADAM,0.005,16,0.780645161,0.036726766,0.931009365,0.931009365,<__main__.CNNSummary object at 0x0000023FD238B500>
0.3,ADAM,0.005,20,0.740322581,0.025038991,0.905202914,0.905202914,<__main__.CNNSummary object at 0x0000023FD2D61220>
0.3,ADAM,0.01,4,0.70483871,0.036209588,0.86628512,0.86628512,<__main__.CNNSummary object at 0x0000023FD22B0EC0>
0.3,ADAM,0.01,8,0.751612903,0.027982825,0.870915713,0.870915713,<__main__.CNNSummary object at 0x0000023FD2B4BC20>
0.3,ADAM,0.01,12,0.735483871,0.027395625,0.889646202,0.889646202,<__main__.CNNSummary object at 0x0000023FD2B4ADB0>
0.3,ADAM,0.01,16,0.59516129,0.020305933,0.802445369,0.802445369,<__main__.CNNSummary object at 0x0000023FD23F1AF0>
0.3,ADAM,0.01,20,0.633870968,0.04324867,0.83314256,0.83314256,<__main__.CNNSummary object at 0x0000023FCF3E43E0>
