Drop Rate,Activation Function,Learning Rates,CF Size,Mean Accuracy,Accuracy Standard Error,Mean AUC,AUC Standard Error,SummaryObject
0.2,ADAM,0.001,4.0,0.7072289156626506,0.0744737671565227,0.8809160859465738,0.06106435883279744,<__main__.CNNSummary object at 0x0000027D999BAC00>
0.2,ADAM,0.001,8.0,0.8349397590361445,0.036759330338865304,0.9412529036004645,0.022267856001812775,<__main__.CNNSummary object at 0x0000027D9AB93110>
0.2,ADAM,0.001,12.0,0.7030120481927711,0.05637118806068837,0.8887049941927991,0.048139917039402444,<__main__.CNNSummary object at 0x0000027D9AC01E20>
0.2,ADAM,0.001,16.0,0.8680722891566266,0.0226485195145873,0.9574840301974449,0.005626154399027085,<__main__.CNNSummary object at 0x0000027D9AB92750>
0.2,ADAM,0.001,20.0,0.8753012048192771,0.011957489904385055,0.9497967479674797,0.00828426968061934,<__main__.CNNSummary object at 0x0000027D909B1E80>
0.2,ADAM,0.005,4.0,0.7771084337349398,0.049812757254642244,0.9548998257839723,0.007828544170869058,<__main__.CNNSummary object at 0x0000027D9AC642F0>
0.2,ADAM,0.005,8.0,0.7367469879518073,0.038047307649730425,0.9436846689895472,0.013070549710618074,<__main__.CNNSummary object at 0x0000027D905C7D70>
0.2,ADAM,0.005,12.0,0.756024096385542,0.04897705210645263,0.9259509291521487,0.01840000869628354,<__main__.CNNSummary object at 0x0000027D99FF2AB0>
0.2,ADAM,0.005,16.0,0.8192771084337348,0.05127564202088353,0.9555095818815331,0.004243589355735211,<__main__.CNNSummary object at 0x0000027D912F5610>
0.2,ADAM,0.005,20.0,0.7777108433734939,0.03829449415738029,0.9414488966318235,0.011676540547270582,<__main__.CNNSummary object at 0x0000027D8BAFC8F0>
0.2,ADAM,0.01,4.0,0.6867469879518072,0.0666473093298281,0.8502105110336817,0.050594734284722276,<__main__.CNNSummary object at 0x0000027D9AEB6480>
0.2,ADAM,0.01,8.0,0.6716867469879517,0.021446967613154108,0.8415940766550524,0.03855877004199721,<__main__.CNNSummary object at 0x0000027D9AD9F020>
0.2,ADAM,0.01,12.0,0.6765060240963856,0.046012425190188694,0.851154181184669,0.032438065232128915,<__main__.CNNSummary object at 0x0000027D9AD38FE0>
0.2,ADAM,0.01,16.0,0.6698795180722892,0.04659045647280789,0.8466644889663184,0.038493232011675454,<__main__.CNNSummary object at 0x0000027D9AF83230>
0.2,ADAM,0.01,20.0,0.708433734939759,0.054144865174225745,0.8557854239256677,0.04393099525105852,<__main__.CNNSummary object at 0x0000027D8BAFD580>
0.3,SGD,0.001,4.0,0.508433734939759,0.01217553188639021,0.5235010162601627,0.013862148009050876,<__main__.CNNSummary object at 0x0000027D9A075F10>
0.3,SGD,0.001,8.0,0.5012048192771085,0.0029511924611845476,0.5170550232288037,0.020854207047880477,<__main__.CNNSummary object at 0x0000027D9B043230>
0.3,SGD,0.001,12.0,0.49879518072289153,0.004819277108433739,0.5152148664343786,0.03820773408130318,<__main__.CNNSummary object at 0x0000027D9ACCA420>
0.3,SGD,0.001,16.0,0.505421686746988,0.008750505449598777,0.5598903890824622,0.02229593994112068,<__main__.CNNSummary object at 0x0000027D8BC42870>
0.3,SGD,0.001,20.0,0.5150602409638554,0.01212326011897476,0.5615527003484321,0.018836812896164016,<__main__.CNNSummary object at 0x0000027D8BE454C0>
0.3,SGD,0.005,4.0,0.6277108433734939,0.0765238097152213,0.7118720963995353,0.08419672429060929,<__main__.CNNSummary object at 0x0000027D9B16E480>
0.3,SGD,0.005,8.0,0.5277108433734939,0.030811353861552825,0.6059015679442508,0.055893576733687715,<__main__.CNNSummary object at 0x0000027D9B0AB020>
0.3,SGD,0.005,12.0,0.6210843373493976,0.07634457873155343,0.6860699767711964,0.09108915790781753,<__main__.CNNSummary object at 0x0000027D9B16DAF0>
0.3,SGD,0.005,16.0,0.505421686746988,0.00335407491736748,0.6324876596980256,0.040240996409552025,<__main__.CNNSummary object at 0x0000027D9AD9FE30>
0.3,SGD,0.005,20.0,0.5771084337349397,0.05273751476684167,0.7351117886178861,0.06987552293776947,<__main__.CNNSummary object at 0x0000027D9AC03500>
0.3,SGD,0.01,4.0,0.6590361445783132,0.09187191377756623,0.8140461672473869,0.06174732128831169,<__main__.CNNSummary object at 0x0000027D9AFE4DA0>
0.3,SGD,0.01,8.0,0.5807228915662651,0.07774585930073098,0.6874891114982578,0.07064392081971628,<__main__.CNNSummary object at 0x0000027D9B2342C0>
